Country,Year,Crop,Yield,Pesticides,Temperature,Pollution,Precipitation,Machinery
Albania,1990,Corn,3.6613,0.17,12.28,22.96157928,966.8653,0.53
Albania,1990,Cassava,0,0.17,12.28,22.96157928,966.8653,0.53
Albania,1990,Potato,6.6667,0.17,12.28,22.96157928,966.8653,0.53
Albania,1990,Soybean,0.7,0.17,12.28,22.96157928,966.8653,0.53
Albania,1990,Wheat,3.0196998,0.17,12.28,22.96157928,966.8653,0.53
Albania,1990,Rice,2.3332999,0.17,12.28,22.96157928,966.8653,0.53
Albania,1991,Corn,2.9068,0.17,11.23,22.70311049,1166.1395,0.42
Albania,1991,Cassava,0,0.17,11.23,22.70311049,1166.1395,0.42
Albania,1991,Potato,7.7818,0.17,11.23,22.70311049,1166.1395,0.42
Albania,1991,Soybean,0.6066,0.17,11.23,22.70311049,1166.1395,0.42
Albania,1991,Wheat,2.0698,0.17,11.23,22.70311049,1166.1395,0.42
Albania,1991,Rice,2.8537998,0.17,11.23,22.70311049,1166.1395,0.42
Albania,1992,Corn,2.4875998,0.17,11.82,22.4828964,1007.95886,0.39874099999999996
Albania,1992,Cassava,0,0.17,11.82,22.4828964,1007.95886,0.39874099999999996
Albania,1992,Potato,8.292,0.17,11.82,22.4828964,1007.95886,0.39874099999999996
Albania,1992,Soybean,0.45069999,0.17,11.82,22.4828964,1007.95886,0.39874099999999996
Albania,1992,Wheat,2.4387999,0.17,11.82,22.4828964,1007.95886,0.39874099999999996
Albania,1992,Rice,4,0.17,11.82,22.4828964,1007.95886,0.39874099999999996
Albania,1993,Corn,2.4185,0.17,11.78,22.29713188,1104.6388,0.40
Albania,1993,Cassava,0,0.17,11.78,22.29713188,1104.6388,0.40
Albania,1993,Potato,9.8446,0.17,11.78,22.29713188,1104.6388,0.40
Albania,1993,Soybean,0.7998,0.17,11.78,22.29713188,1104.6388,0.40
Albania,1993,Wheat,2.9975998,0.17,11.78,22.29713188,1104.6388,0.40
Albania,1993,Rice,4.1786,0.17,11.78,22.29713188,1104.6388,0.40
Albania,1994,Corn,2.5848,0.29,12.75,22.14201178,940.75476,0.41
Albania,1994,Cassava,0,0.29,12.75,22.14201178,940.75476,0.41
Albania,1994,Potato,8.1404,0.29,12.75,22.14201178,940.75476,0.41
Albania,1994,Soybean,0.7927,0.29,12.75,22.14201178,940.75476,0.41
Albania,1994,Wheat,2.4745,0.29,12.75,22.14201178,940.75476,0.41
Albania,1994,Rice,0,0.29,12.75,22.14201178,940.75476,0.41
Albania,1995,Corn,3.1299999,0.36,11.59,22.01373098,1412.1289,0.40
Albania,1995,Cassava,0,0.36,11.59,22.01373098,1412.1289,0.40
Albania,1995,Potato,11.132299,0.36,11.59,22.01373098,1412.1289,0.40
Albania,1995,Soybean,1.1790999,0.36,11.59,22.01373098,1412.1289,0.40
Albania,1995,Wheat,2.8702998,0.36,11.59,22.01373098,1412.1289,0.40
Albania,1995,Rice,0,0.36,11.59,22.01373098,1412.1289,0.40
Albania,1996,Corn,3.2603998,0.37,11.33,21.95188313,1528.0774,0.37
Albania,1996,Cassava,0,0.37,11.33,21.95188313,1528.0774,0.37
Albania,1996,Potato,10.6138,0.37,11.33,21.95188313,1528.0774,0.37
Albania,1996,Soybean,1.548,0.37,11.33,21.95188313,1528.0774,0.37
Albania,1996,Wheat,2.1741,0.37,11.33,21.95188313,1528.0774,0.37
Albania,1996,Rice,0,0.37,11.33,21.95188313,1528.0774,0.37
Albania,1997,Corn,3.1862,0.39,11.57,21.97760117,979.56946,0.36
Albania,1997,Cassava,0,0.39,11.57,21.97760117,979.56946,0.36
Albania,1997,Potato,10.9874,0.39,11.57,21.97760117,979.56946,0.36
Albania,1997,Soybean,1.2767999,0.39,11.57,21.97760117,979.56946,0.36
Albania,1997,Wheat,2.8516,0.39,11.57,21.97760117,979.56946,0.36
Albania,1997,Rice,0,0.39,11.57,21.97760117,979.56946,0.36
Albania,1998,Corn,3.3416,0.41,12.19,22.0593889,1272.2244,0.36616699999999996
Albania,1998,Cassava,0,0.41,12.19,22.0593889,1272.2244,0.36616699999999996
Albania,1998,Potato,12.7212,0.41,12.19,22.0593889,1272.2244,0.36616699999999996
Albania,1998,Soybean,1.4326999,0.41,12.19,22.0593889,1272.2244,0.36616699999999996
Albania,1998,Wheat,2.8037,0.41,12.19,22.0593889,1272.2244,0.36616699999999996
Albania,1998,Rice,0,0.41,12.19,22.0593889,1272.2244,0.36616699999999996
Albania,1999,Corn,3.7454998,0.42,12.46,22.1657501,1320.0922,0.37
Albania,1999,Cassava,0,0.42,12.46,22.1657501,1320.0922,0.37
Albania,1999,Potato,14.201799,0.42,12.46,22.1657501,1320.0922,0.37
Albania,1999,Soybean,1.7142999,0.42,12.46,22.1657501,1320.0922,0.37
Albania,1999,Wheat,2.4954,0.42,12.46,22.1657501,1320.0922,0.37
Albania,1999,Rice,0,0.42,12.46,22.1657501,1320.0922,0.37
Albania,2000,Corn,3.8811,0.44,12.73,22.26518857,994.6187,0.36470600000000003
Albania,2000,Cassava,0,0.44,12.73,22.26518857,994.6187,0.36470600000000003
Albania,2000,Potato,14.1228,0.44,12.73,22.26518857,994.6187,0.36470600000000003
Albania,2000,Soybean,1.5,0.44,12.73,22.26518857,994.6187,0.36470600000000003
Albania,2000,Wheat,3.0455,0.44,12.73,22.26518857,994.6187,0.36470600000000003
Albania,2000,Rice,0,0.44,12.73,22.26518857,994.6187,0.36470600000000003
Albania,2001,Corn,3.8135,0.46,12.46,22.36600621,1179.969,0.34
Albania,2001,Cassava,0,0.46,12.46,22.36600621,1179.969,0.34
Albania,2001,Potato,14.8818,0.46,12.46,22.36600621,1179.969,0.34
Albania,2001,Soybean,2,0.46,12.46,22.36600621,1179.969,0.34
Albania,2001,Wheat,2.822,0.46,12.46,22.36600621,1179.969,0.34
Albania,2001,Rice,0,0.46,12.46,22.36600621,1179.969,0.34
Albania,2002,Corn,3.9459999,0.47,12.54,22.48278512,1286.1083,0.34
Albania,2002,Cassava,0,0.47,12.54,22.48278512,1286.1083,0.34
Albania,2002,Potato,15.3868,0.47,12.54,22.48278512,1286.1083,0.34
Albania,2002,Soybean,2,0.47,12.54,22.48278512,1286.1083,0.34
Albania,2002,Wheat,3.1617,0.47,12.54,22.48278512,1286.1083,0.34
Albania,2002,Rice,0,0.47,12.54,22.48278512,1286.1083,0.34
Albania,2003,Corn,4.2805,0.49,12.41,22.59344935,1195.5265,0.27
Albania,2003,Cassava,0,0.49,12.41,22.59344935,1195.5265,0.27
Albania,2003,Potato,15.130099,0.49,12.41,22.59344935,1195.5265,0.27
Albania,2003,Soybean,1.2106999,0.49,12.41,22.59344935,1195.5265,0.27
Albania,2003,Wheat,2.8629,0.49,12.41,22.59344935,1195.5265,0.27
Albania,2003,Rice,0,0.49,12.41,22.59344935,1195.5265,0.27
Albania,2004,Corn,4.6197,0.51,12.1,22.67592295,1518.797,0.33793799999999996
Albania,2004,Cassava,0,0.51,12.1,22.67592295,1518.797,0.33793799999999996
